Date,Group,Sap_Flow,TWaterFlux,pLWP,mLWP
11/6/19,Drought-tolerant understory,5.223501012,2.069100586,-0.388793221,-0.642738779
11/7/19,Drought-sensitive canopy,76.1731911,29.69551042,-0.709993882,-1.416404863
11/7/19,Drought-sensitive understory,0.532019914,0.211979125,-0.640781887,-0.987452978
11/7/19,Drought-tolerant canopy,9.012352181,4.599025357,-0.574832449,-0.807297617
11/7/19,Drought-tolerant understory,5.149255909,2.30412092,-0.390773169,-0.643112888
11/8/19,Drought-sensitive canopy,73.4009514,25.99509222,-0.711984683,-1.431954556
11/8/19,Drought-sensitive understory,0.500996597,0.193546157,-0.6535432,-1.0224903
11/8/19,Drought-tolerant canopy,8.963536811,3.58060391,-0.577277718,-0.805157116
11/8/19,Drought-tolerant understory,5.077965615,2.004585201,-0.397209307,-0.645296136
11/9/19,Drought-sensitive canopy,70.81044867,33.02726927,-0.718836794,-1.446429253
11/9/19,Drought-sensitive understory,0.472594162,0.170504948,-0.667175271,-1.066214361
11/9/19,Drought-tolerant canopy,8.899623925,4.271840186,-0.579213487,-0.805661544
11/9/19,Drought-tolerant understory,5.011499413,2.064492345,-0.408811605,-0.649943146
11/10/19,Drought-sensitive canopy,68.35438459,28.57109941,-0.728605788,-1.459252325
11/10/19,Drought-sensitive understory,0.446720675,0.179721432,-0.681104879,-1.119570678
11/10/19,Drought-tolerant canopy,8.826319369,3.838665453,-0.581363567,-0.809798215
11/10/19,Drought-tolerant understory,4.945580651,2.092141796,-0.424538538,-0.657558041
11/11/19,Drought-sensitive canopy,65.97457453,29.99965438,-0.741690139,-1.471189247
11/11/19,Drought-sensitive understory,0.423301484,0.170504948,-0.696611567,-1.17786936
11/11/19,Drought-tolerant canopy,8.750910197,4.161242382,-0.584498451,-0.816527773
11/11/19,Drought-tolerant understory,4.874955763,2.211956083,-0.443117073,-0.667019735
11/12/19,Drought-sensitive canopy,63.67532285,31.88442529,-0.758488323,-1.483005491
11/12/19,Drought-sensitive understory,0.402367605,0.221195608,-0.71497488,-1.23642052
11/12/19,Drought-tolerant canopy,8.673031801,3.681985231,-0.589388631,-0.824810862
11/12/19,Drought-tolerant understory,4.80002866,2.299512678,-0.46327418,-0.67720714
11/13/19,Drought-sensitive canopy,61.4609339,29.47431481,-0.779398813,-1.495466531
